"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Klickitat","United States U.S. Senator","Michael Baumgartner","(Prefers Republican Party)","3405","51.4273","United States"
"Klickitat","Congressional District 3 U.S. Representative","Jaime Herrera Beutler","(Prefers Republican Party)","3907","59.9693","Congressional District 3"
"Klickitat","Congressional District 3 U.S. Representative","Jon T. Haugen","(Prefers Democratic Party)","2608","40.0307","Congressional District 3"
"Klickitat","Washington State Governor","Jay Inslee","(Prefers Democratic Party)","2830","42.7751","Washington State"
"Klickitat","Washington State Governor","Rob McKenna","(Prefers Republican Party)","3786","57.2249","Washington State"
"Klickitat","Washington State Lt. Governor","Brad Owen","(Prefers Democrat Party)","2927","45.4998","Washington State"
"Klickitat","Washington State Lt. Governor","Bill Finkbeiner","(Prefers Republican Party)","3506","54.5002","Washington State"
"Klickitat","Washington State Secretary of State","Kim Wyman","(Prefers Republican Party)","3660","57.1696","Washington State"
"Klickitat","Washington State Secretary of State","Kathleen Drew","(Prefers Democratic Party)","2742","42.8304","Washington State"
"Klickitat","Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","3051","47.8964","Washington State"
"Klickitat","Washington State State Treasurer","Sharon Hanek","(Prefers Republican Party)","3319","52.1036","Washington State"
"Klickitat","Washington State State Auditor","James Watkins","(Prefers Republican Party)","3586","56.6777","Washington State"
"Klickitat","Washington State State Auditor","Troy Kelley","(Prefers Democratic Party)","2741","43.3223","Washington State"
"Klickitat","Washington State Attorney General","Bob Ferguson","(Prefers Democratic Party)","2797","44.0057","Washington State"
"Klickitat","Washington State Attorney General","Reagan Dunn","(Prefers Republican Party)","3559","55.9943","Washington State"
"Klickitat","Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","2880","45.1057","Washington State"
"Klickitat","Washington State Commissioner of Public Lands","Clint Didier","(Prefers Republican Party)","3505","54.8943","Washington State"
"Klickitat","Washington State Superintendent of Public Instruction","Randy I. Dorn","","4422","100","Washington State"
"Klickitat","Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","2808","45.3708","Washington State"
"Klickitat","Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","3381","54.6292","Washington State"
"Klickitat","Legislative District 14 State Senator","Curtis King","(Prefers Republican Party)","4472","100","Legislative District 14"
"Klickitat","Legislative District 14 State Representative Pos. 1","Norm Johnson","(Prefers Republican Party)","3763","59.645","Legislative District 14"
"Klickitat","Legislative District 14 State Representative Pos. 1","Paul Spencer","(Prefers Democratic Party)","2546","40.355","Legislative District 14"
"Klickitat","Legislative District 14 State Representative Pos. 2","Charles Ross","(Prefers Republican Party)","3809","60.9343","Legislative District 14"
"Klickitat","Legislative District 14 State Representative Pos. 2","Mathew K.M. Tomaskin","(Prefers Democratic Party)","2442","39.0657","Legislative District 14"
"Klickitat","KLICKITAT COUNTY County Commissioner #1","Rex F. Johnston","(Prefers Republican Party)","4514","100","KLICKITAT COUNTY"
"Klickitat","KLICKITAT COUNTY County Commissioner #3","Jim Sizemore","(Prefers Republican Party)","3534","64.9632","KLICKITAT COUNTY"
"Klickitat","KLICKITAT COUNTY County Commissioner #3","Joe Sellers","(Prefers Republican Party)","1906","35.0368","KLICKITAT COUNTY"
"Klickitat","Supreme Court Justice Position 2","Susan Owens","","4316","100","Supreme Court"
"Klickitat","Supreme Court Justice Position 8","Steve Gonzalez","","4187","100","Supreme Court"
"Klickitat","Supreme Court Justice Position 9","Sheryl Gordon McCloud","","2466","48.8607","Supreme Court"
"Klickitat","Supreme Court Justice Position 9","Richard B. Sanders","","2581","51.1393","Supreme Court"
"Klickitat","Court of Appeals, Division 3, District 3 Judge Position 2","Teresa C. Kulik","","4107","100","Court of Appeals, Division 3, District 3"
"Klickitat","Klickitat, Skamania Superior Court Judge Position 1","Brian Altman","","4353","100","Klickitat, Skamania Superior Court"
"Klickitat","WHITE SALMON MUNICIPAL White Salmon Municipal - Proposition No. 1 Single Year Temporary Levy Lid Lift for Five Years","Approved?","","383","66.3778","WHITE SALMON MUNICIPAL"
"Klickitat","WHITE SALMON MUNICIPAL White Salmon Municipal - Proposition No. 1 Single Year Temporary Levy Lid Lift for Five Years","Rejected?","","194","33.6222","WHITE SALMON MUNICIPAL"
"Klickitat","PORT DISTRICT # 1 Port District 1 - Proposition 1 Regular Property Tax Levy Lid Lift","Approved","","742","22.9935","PORT DISTRICT # 1"
"Klickitat","PORT DISTRICT # 1 Port District 1 - Proposition 1 Regular Property Tax Levy Lid Lift","Rejected","","2485","77.0065","PORT DISTRICT # 1"
"Klickitat","LYLE SCHOOL DISTRICT # 406 Lyle School District # 406 - Dissolution and Reapportionment of Director Districts ","Yes","","589","65.2993","LYLE SCHOOL DISTRICT # 406"
"Klickitat","LYLE SCHOOL DISTRICT # 406 Lyle School District # 406 - Dissolution and Reapportionment of Director Districts ","No","","313","34.7007","LYLE SCHOOL DISTRICT # 406"
"Klickitat","PUBLIC UTILITY DISTRICT # 1 Utility Commissioner #1","Randy L Knowles","","4496","100","PUBLIC UTILITY DISTRICT # 1"
"Lewis","Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government","Yes","","14891","76.588","Statewide"
"Lewis","Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government","No","","4552","23.412","Statewide"
"Lewis","Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system","Yes","","11050","56.464","Statewide"
"Lewis","Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system","No","","8520","43.536","Statewide"
"Lewis","Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples","Approved","","6693","33.7911","Statewide"
"Lewis","Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples","Rejected","","13114","66.2089","Statewide"
"Lewis","Statewide Initiative Measure No. 502 Concerns marijuana","Yes","","8795","44.2115","Statewide"
"Lewis","Statewide Initiative Measure No. 502 Concerns marijuana","No","","11098","55.7885","Statewide"
"Lewis","Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit","Approved","","10554","58.1808","Statewide"
"Lewis","Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit","Rejected","","7586","41.8192","Statewide"
"Lewis","Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University","Approved","","5717","31.0707","Statewide"
"Lewis","Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University","Rejected","","12683","68.9293","Statewide"
"Lewis","Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans","Repealed","","12651","71.0052","Washington State"
"Lewis","Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans","Maintained","","5166","28.9948","Washington State"
"Lewis","Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products","Repealed","","12258","69.1176","Washington State"
"Lewis","Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products","Maintained","","5477","30.8824","Washington State"
"Lewis","United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","7421","37.3722","United States"
"Lewis","United States President/Vice President","Mitt Romney / Paul Ryan","Republican Party Nominees","12007","60.4673","United States"
"Lewis","United States President/Vice President","Gary Johnson / James P. Gray","Libertarian Party Nominees","212","1.0676","United States"
"Lewis","United States President/Vice President","Virgil Goode / James N. Clymer","Constitution Party Nominees","78","0.3928","United States"
"Lewis","United States President/Vice President","Jill Stein / Cheri Honkala","Green Party Nominees","82","0.413","United States"
"Lewis","United States President/Vice President","Peta Lindsay / Yari Osorio","Socialism & Liberation Party Nominees","11","0.0554","United States"
"Lewis","United States President/Vice President","James Harris / Alyson Kennedy","Socialist Workers Party Nominees","16","0.0806","United States"
"Lewis","United States President/Vice President","Ross C. (Rocky) Anderson / Luis J. Rodriguez","Justice Party Nominees","30","0.1511","United States"
"Lewis","United States U.S. Senator","Maria Cantwell","(Prefers Democratic Party)","8483","42.9911","United States"
"Lewis","United States U.S. Senator","Michael Baumgartner","(Prefers Republican Party)","11249","57.0089","United States"
"Lewis","Congressional District 3 U.S. Representative","Jaime Herrera Beutler","(Prefers Republican Party)","13765","70.793","Congressional District 3"
"Lewis","Congressional District 3 U.S. Representative","Jon T. Haugen","(Prefers Democratic Party)","5679","29.207","Congressional District 3"
"Lewis","Washington State Governor","Jay Inslee","(Prefers Democratic Party)","7056","35.5305","Washington State"
"Lewis","Washington State Governor","Rob McKenna","(Prefers Republican Party)","12803","64.4695","Washington State"
"Lewis","Washington State Lt. Governor","Brad Owen","(Prefers Democrat Party)","8222","42.7517","Washington State"
"Lewis","Washington State Lt. Governor","Bill Finkbeiner","(Prefers Republican Party)","11010","57.2483","Washington State"
"Lewis","Washington State Secretary of State","Kim Wyman","(Prefers Republican Party)","12506","65.6414","Washington State"
"Lewis","Washington State Secretary of State","Kathleen Drew","(Prefers Democratic Party)","6546","34.3586","Washington State"
"Lewis","Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","7964","42.1331","Washington State"
"Lewis","Washington State State Treasurer","Sharon Hanek","(Prefers Republican Party)","10938","57.8669","Washington State"
"Lewis","Washington State State Auditor","James Watkins","(Prefers Republican Party)","11827","63.0168","Washington State"
"Lewis","Washington State State Auditor","Troy Kelley","(Prefers Democratic Party)","6941","36.9832","Washington State"
"Lewis","Washington State Attorney General","Bob Ferguson","(Prefers Democratic Party)","7408","38.8973","Washington State"
"Lewis","Washington State Attorney General","Reagan Dunn","(Prefers Republican Party)","11637","61.1027","Washington State"
"Lewis","Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","7732","40.8863","Washington State"
"Lewis","Washington State Commissioner of Public Lands","Clint Didier","(Prefers Republican Party)","11179","59.1137","Washington State"
"Lewis","Washington State Superintendent of Public Instruction","Randy I. Dorn","","13812","100","Washington State"
"Lewis","Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","7732","41.474","Washington State"
"Lewis","Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","10911","58.526","Washington State"
"Lewis","Legislative District 19 State Senator","Brian Hatfield","(Prefers Democratic Party)","737","39.2857","Legislative District 19"
"Lewis","Legislative District 19 State Senator","Rick Winsman","(Prefers Republican Party)","1139","60.7143","Legislative District 19"
"Lewis","Legislative District 19 State Representative Pos. 1","Dean Takko","(Prefers Democratic Party)","752","40.6048","Legislative District 19"
"Lewis","Legislative District 19 State Representative Pos. 1","Dixie Kolditz","(Prefers Republican Party)","1100","59.3952","Legislative District 19"
"Lewis","Legislative District 19 State Representative Pos. 2","Brian E. Blake","(Prefers Democratic Party)","715","40.764","Legislative District 19"
"Lewis","Legislative District 19 State Representative Pos. 2","Tim Sutinen","(Prefers Independent Party)","1039","59.236","Legislative District 19"
"Lewis","Legislative District 20 State Senator","Dan Swecker","(Prefers Republican Party)","6856","42.613","Legislative District 20"
"Lewis","Legislative District 20 State Senator","John E. Braun","(Prefers Republican Party)","9233","57.387","Legislative District 20"
"Lewis","Legislative District 20 State Representative Pos. 1","Richard DeBolt","(Prefers Republican Party)","13282","100","Legislative District 20"
"Lewis","Legislative District 20 State Representative Pos. 2","Ed Orcutt","(Prefers Republican Party)","9390","65.1179","Legislative District 20"
"Lewis","Legislative District 20 State Representative Pos. 2","John Morgan","(Prefers Republican Party)","5030","34.8821","Legislative District 20"
"Lewis","County Comm Dist 1","Edna J. Fund","(Prefers Republican Party)","9262","53.5933","County"
"Lewis","County Comm Dist 1","Ron Averill","(Prefers Republican Party)","8020","46.4067","County"
"Lewis","County Comm Dist 2","Bill Schulte","(Prefers Republican Party)","11450","71.3796","County"
"Lewis","County Comm Dist 2","Gerald O. Lord","(Prefers Republican Party)","4591","28.6204","County"
"Lewis","PUD District Comm Dist 2","Dean Dahlin","","9494","68.3366","PUD District"
"Lewis","PUD District Comm Dist 2","James H. Hubenthal","","4399","31.6634","PUD District"
"Lewis","Supreme Court Justice Position 2","Susan Owens","","13066","100","Supreme Court"
"Lewis","Supreme Court Justice Position 8","Steve Gonzalez","","12811","100","Supreme Court"
"Lewis","Supreme Court Justice Position 9","Sheryl Gordon McCloud","","6810","43.2876","Supreme Court"
"Lewis","Supreme Court Justice Position 9","Richard B. Sanders","","8922","56.7124","Supreme Court"
"Lewis","Court of Appeals, Division 2, District 3 Judge Position 1","Joel Penoyar","","12739","100","Court of Appeals, Division 2, District 3"
"Lewis","Lewis Superior Court Judge Position 1","Nelson E. Hunt","","13255","100","Lewis Superior Court"
"Lewis","Lewis Superior Court Judge Position 2","James W. Lawler","","13262","100","Lewis Superior Court"
"Lewis","Lewis Superior Court Judge Position 3","Richard L. Brosey","","13504","100","Lewis Superior Court"
"Lewis","Morton City Morton City - Annexation of the City of Morton to the Timberland Regional Library Annexation of the City of Morton to the Timberland Regional Library","Yes","","174","69.8795","Morton City"
"Lewis","Morton City Morton City - Annexation of the City of Morton to the Timberland Regional Library Annexation of the City of Morton to the Timberland Regional Library","No","","75","30.1205","Morton City"
"Lewis","Fire Dist. #6-Chehalis Fire Dist. #6-Chehalis - Proposition 1 Proposition to renew a regular emergency medical services property tax levy","Yes","","1702","72.5181","Fire Dist. #6-Chehalis"
"Lewis","Fire Dist. #6-Chehalis Fire Dist. #6-Chehalis - Proposition 1 Proposition to renew a regular emergency medical services property tax levy","No","","645","27.4819","Fire Dist. #6-Chehalis"
"Lincoln","Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government","Yes","","3252","74.3314","Statewide"
"Lincoln","Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government","No","","1123","25.6686","Statewide"
"Lincoln","Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system","Yes","","1997","45.3451","Statewide"
"Lincoln","Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system","No","","2407","54.6549","Statewide"
"Lincoln","Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples","Approved","","1273","28.466","Statewide"
"Lincoln","Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples","Rejected","","3199","71.534","Statewide"
"Lincoln","Statewide Initiative Measure No. 502 Concerns marijuana","Yes","","1882","42.1501","Statewide"
"Lincoln","Statewide Initiative Measure No. 502 Concerns marijuana","No","","2583","57.8499","Statewide"
"Lincoln","Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit","Approved","","2385","57.6784","Statewide"
"Lincoln","Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit","Rejected","","1750","42.3216","Statewide"
"Lincoln","Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University","Approved","","1410","33.4044","Statewide"
"Lincoln","Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University","Rejected","","2811","66.5956","Statewide"
"Lincoln","Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans","Repealed","","2964","72.8793","Washington State"
"Lincoln","Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans","Maintained","","1103","27.1207","Washington State"
"Lincoln","Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products","Repealed","","2791","70.2315","Washington State"
"Lincoln","Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products","Maintained","","1183","29.7685","Washington State"
"Lincoln","United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","1357","30.0155","United States"
"Lincoln","United States President/Vice President","Mitt Romney / Paul Ryan","Republican Party Nominees","3064","67.7726","United States"
"Lincoln","United States President/Vice President","Gary Johnson / James P. Gray","Libertarian Party Nominees","42","0.929","United States"
"Lincoln","United States President/Vice President","Virgil Goode / James N. Clymer","Constitution Party Nominees","21","0.4645","United States"
"Lincoln","United States President/Vice President","Jill Stein / Cheri Honkala","Green Party Nominees","31","0.6857","United States"
"Lincoln","United States President/Vice President","Peta Lindsay / Yari Osorio","Socialism & Liberation Party Nominees","0","0","United States"
"Lincoln","United States President/Vice President","James Harris / Alyson Kennedy","Socialist Workers Party Nominees","3","0.0664","United States"
"Lincoln","United States President/Vice President","Ross C. (Rocky) Anderson / Luis J. Rodriguez","Justice Party Nominees","3","0.0664","United States"
"Lincoln","United States U.S. Senator","Maria Cantwell","(Prefers Democratic Party)","1704","38.0103","United States"
"Lincoln","United States U.S. Senator","Michael Baumgartner","(Prefers Republican Party)","2779","61.9897","United States"
"Lincoln","Congressional District 5 U.S. Representative","Cathy McMorris Rodgers","(Prefers Republican Party)","3379","75.3232","Congressional District 5"
"Lincoln","Congressional District 5 U.S. Representative","Rich Cowan","(Prefers Democratic Party)","1107","24.6768","Congressional District 5"
"Lincoln","Washington State Governor","Jay Inslee","(Prefers Democratic Party)","1368","30.652","Washington State"
"Lincoln","Washington State Governor","Rob McKenna","(Prefers Republican Party)","3095","69.348","Washington State"
"Lincoln","Washington State Lt. Governor","Brad Owen","(Prefers Democrat Party)","1573","36.3699","Washington State"
"Lincoln","Washington State Lt. Governor","Bill Finkbeiner","(Prefers Republican Party)","2752","63.6301","Washington State"
"Lincoln","Washington State Secretary of State","Kim Wyman","(Prefers Republican Party)","3080","71.9963","Washington State"
"Lincoln","Washington State Secretary of State","Kathleen Drew","(Prefers Democratic Party)","1198","28.0037","Washington State"
"Lincoln","Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","1602","37.6498","Washington State"
"Lincoln","Washington State State Treasurer","Sharon Hanek","(Prefers Republican Party)","2653","62.3502","Washington State"
"Lincoln","Washington State State Auditor","James Watkins","(Prefers Republican Party)","2943","69.4595","Washington State"
"Lincoln","Washington State State Auditor","Troy Kelley","(Prefers Democratic Party)","1294","30.5405","Washington State"
"Lincoln","Washington State Attorney General","Bob Ferguson","(Prefers Democratic Party)","1290","30.007","Washington State"
"Lincoln","Washington State Attorney General","Reagan Dunn","(Prefers Republican Party)","3009","69.993","Washington State"
"Lincoln","Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","1573","36.2192","Washington State"
"Lincoln","Washington State Commissioner of Public Lands","Clint Didier","(Prefers Republican Party)","2770","63.7808","Washington State"
"Lincoln","Washington State Superintendent of Public Instruction","Randy I. Dorn","","3317","100","Washington State"
"Lincoln","Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","1454","34.5697","Washington State"
"Lincoln","Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","2752","65.4303","Washington State"
"Lincoln","Legislative District 13 State Representative Pos. 1","Judith (Judy) Warnick","(Prefers Republican Party)","3488","100","Legislative District 13"
"Lincoln","Legislative District 13 State Representative Pos. 2","Matt Manweller ","(Prefers Republican Party)","3180","76.4607","Legislative District 13"
"Lincoln","Legislative District 13 State Representative Pos. 2","Kaj Selmann","(Prefers Democratic Party)","979","23.5393","Legislative District 13"
"Lincoln","COUNTYWIDE COUNTY COMMISSIONER 1","Mark R. Stedman","(Prefers Republican Party)","2209","55.3634","COUNTYWIDE"
"Lincoln","COUNTYWIDE COUNTY COMMISSIONER 1","Alan Stromberger","(Prefers Republican Party)","1781","44.6366","COUNTYWIDE"
"Lincoln","COUNTYWIDE COUNTY COMMISSIONER 2","Scott M. Hutsell","(Prefers Republican Party)","3671","100","COUNTYWIDE"
"Lincoln","Supreme Court Justice Position 2","Susan Owens","","3210","100","Supreme Court"
"Lincoln","Supreme Court Justice Position 8","Steve Gonzalez","","3178","100","Supreme Court"
"Lincoln","Supreme Court Justice Position 9","Sheryl Gordon McCloud","","1448","40.2446","Supreme Court"
"Lincoln","Supreme Court Justice Position 9","Richard B. Sanders","","2150","59.7554","Supreme Court"
"Lincoln","Court of Appeals, Division 3, District 1 Judge Position 1","Laurel Siddoway","","3063","100","Court of Appeals, Division 3, District 1"
"Lincoln","Lincoln Superior Court Judge Position 1","John F. Strohmaier","","3311","100","Lincoln Superior Court"
"Lincoln","RITZVILLE SCHOOL DISTRICT 067 Ritzville School District #160 - Special Election Proposition 1 Capital Levy to Improve Jimmie Snider Field","Levy, Yes","","3","75","RITZVILLE SCHOOL DISTRICT 067"
"Lincoln","RITZVILLE SCHOOL DISTRICT 067 Ritzville School District #160 - Special Election Proposition 1 Capital Levy to Improve Jimmie Snider Field","Levy, No","","1","25","RITZVILLE SCHOOL DISTRICT 067"
"Lincoln","PARK/REC DISTRICT 4 Coulee Area Park and Recreation District - Proposition No. 1 Maintenance and Operation Levy","Yes","","50","56.8182","PARK/REC DISTRICT 4"
"Lincoln","PARK/REC DISTRICT 4 Coulee Area Park and Recreation District - Proposition No. 1 Maintenance and Operation Levy","No","","38","43.1818","PARK/REC DISTRICT 4"
"Lincoln","PARK/REC DISTRICT 3 Park & Recreation District No. 3 -- Proposition No. 1 Six Year Levy for Maintenance and Operation","Levy Yes","","733","64.3547","PARK/REC DISTRICT 3"
"Lincoln","PARK/REC DISTRICT 3 Park & Recreation District No. 3 -- Proposition No. 1 Six Year Levy for Maintenance and Operation","Levy No","","406","35.6453","PARK/REC DISTRICT 3"
"Lincoln","PUBLIC UTILITY DIST 1 PUBLIC UTILITY COMMISSIONER 1","Marlon K. Schafer","","954","27.7326","PUBLIC UTILITY DIST 1"
"Lincoln","PUBLIC UTILITY DIST 1 PUBLIC UTILITY COMMISSIONER 1","Stephen G. Krupke","","1840","53.4884","PUBLIC UTILITY DIST 1"
"Lincoln","PUBLIC UTILITY DIST 1 PUBLIC UTILITY COMMISSIONER 1","Mary Anne Hale","","646","18.7791","PUBLIC UTILITY DIST 1"
"Lincoln","PUBLIC UTILITY DIST 1 PUBLIC UTILITY COMMISSIONER 2","Loren Rux","","3242","100","PUBLIC UTILITY DIST 1"
"Mason","Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government","Yes","","15420","73.0217","Statewide"
"Mason","Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government","No","","5697","26.9783","Statewide"
"Mason","Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system","Yes","","12038","56.4846","Statewide"
"Mason","Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system","No","","9274","43.5154","Statewide"
"Mason","Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples","Approved","","10085","46.3913","Statewide"
"Mason","Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples","Rejected","","11654","53.6087","Statewide"
"Mason","Statewide Initiative Measure No. 502 Concerns marijuana","Yes","","12083","55.4724","Statewide"
"Mason","Statewide Initiative Measure No. 502 Concerns marijuana","No","","9699","44.5276","Statewide"
"Mason","Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit","Approved","","12503","62.3063","Statewide"
"Mason","Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit","Rejected","","7564","37.6937","Statewide"
"Mason","Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University","Approved","","7486","36.6046","Statewide"
"Mason","Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University","Rejected","","12965","63.3954","Statewide"
"Mason","Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans","Repealed","","12634","64.1059","Washington State"
"Mason","Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans","Maintained","","7074","35.8941","Washington State"
"Mason","Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products","Repealed","","12308","63.4139","Washington State"
"Mason","Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products","Maintained","","7101","36.5861","Washington State"
"Mason","United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","11299","51.8731","United States"
"Mason","United States President/Vice President","Mitt Romney / Paul Ryan","Republican Party Nominees","10028","46.038","United States"
"Mason","United States President/Vice President","Gary Johnson / James P. Gray","Libertarian Party Nominees","228","1.0467","United States"
"Mason","United States President/Vice President","Virgil Goode / James N. Clymer","Constitution Party Nominees","63","0.2892","United States"
"Mason","United States President/Vice President","Jill Stein / Cheri Honkala","Green Party Nominees","120","0.5509","United States"
"Mason","United States President/Vice President","Peta Lindsay / Yari Osorio","Socialism & Liberation Party Nominees","11","0.0505","United States"
"Mason","United States President/Vice President","James Harris / Alyson Kennedy","Socialist Workers Party Nominees","5","0.023","United States"
"Mason","United States President/Vice President","Ross C. (Rocky) Anderson / Luis J. Rodriguez","Justice Party Nominees","28","0.1285","United States"
"Mason","United States U.S. Senator","Maria Cantwell","(Prefers Democratic Party)","12319","56.7487","United States"
"Mason","United States U.S. Senator","Michael Baumgartner","(Prefers Republican Party)","9389","43.2513","United States"
"Mason","Congressional District 6 U.S. Representative","Derek Kilmer","(Prefers Democratic Party)","8547","52.2433","Congressional District 6"
"Mason","Congressional District 6 U.S. Representative","Bill Driscoll","(Prefers Republican Party)","7813","47.7567","Congressional District 6"
"Mason","Congressional District 10 U.S. Representative","Denny Heck","(Prefers Democratic Party)","2953","61.3929","Congressional District 10"
"Mason","Congressional District 10 U.S. Representative","Richard (Dick) Muri","(Prefers Republican Party)","1857","38.6071","Congressional District 10"
"Mason","Washington State Governor","Jay Inslee","(Prefers Democratic Party)","10167","47.015","Washington State"
"Mason","Washington State Governor","Rob McKenna","(Prefers Republican Party)","11458","52.985","Washington State"
"Mason","Washington State Lt. Governor","Brad Owen","(Prefers Democrat Party)","12447","58.5163","Washington State"
"Mason","Washington State Lt. Governor","Bill Finkbeiner","(Prefers Republican Party)","8824","41.4837","Washington State"
"Mason","Washington State Secretary of State","Kim Wyman","(Prefers Republican Party)","11400","54.4231","Washington State"
"Mason","Washington State Secretary of State","Kathleen Drew","(Prefers Democratic Party)","9547","45.5769","Washington State"
"Mason","Washington State State Treasurer","Jim McIntire","(Prefers Democratic Party)","11375","54.614","Washington State"
"Mason","Washington State State Treasurer","Sharon Hanek","(Prefers Republican Party)","9453","45.386","Washington State"
"Mason","Washington State State Auditor","James Watkins","(Prefers Republican Party)","10412","50.5535","Washington State"
"Mason","Washington State State Auditor","Troy Kelley","(Prefers Democratic Party)","10184","49.4465","Washington State"
"Mason","Washington State Attorney General","Bob Ferguson","(Prefers Democratic Party)","10769","51.2663","Washington State"
"Mason","Washington State Attorney General","Reagan Dunn","(Prefers Republican Party)","10237","48.7337","Washington State"
"Mason","Washington State Commissioner of Public Lands","Peter J. Goldmark","(Prefers Democratic Party)","11136","53.8465","Washington State"
"Mason","Washington State Commissioner of Public Lands","Clint Didier","(Prefers Republican Party)","9545","46.1535","Washington State"
"Mason","Washington State Superintendent of Public Instruction","Randy I. Dorn","","15901","100","Washington State"
"Mason","Washington State Insurance Commissioner","Mike Kreidler","(Prefers Democratic Party)","11509","55.7175","Washington State"
"Mason","Washington State Insurance Commissioner","John R. Adams","(Prefers Republican Party)","9147","44.2825","Washington State"
"Mason","Legislative District 35 State Representative Pos. 1","Kathy Haigh","(Prefers Democratic Party)","10812","50.8178","Legislative District 35"
"Mason","Legislative District 35 State Representative Pos. 1","Dan Griffey","(Prefers Republican Party)","10464","49.1822","Legislative District 35"
"Mason","Legislative District 35 State Representative Pos. 2","Drew C. MacEwen","(Prefers Republican Party)","11720","56.0283","Legislative District 35"
